movement_id,origin_district,type,species,number,weekly_volume,destination_code,destination_name,destination_x,destination_y,destination_district,destination_subdistrict,point_x_subdistrict_destination,point_y_subdistrict_destination,object_id_subdistrict_destination,in_km_distance_origin_district_destination,destination_in_cluster,destination_cluster_name,cy_id
M-JKT-137-33-03-IN,BREBES,FA,LA,200,200,M-JKT-168,PT Putra Jaya Kusuma,106.919983,-6.196133,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,243.6729832,Yes,Rawa Kepiting,M-JKT-137-3
M-JKT-137-33-04-IN,TASIKMALAYA,FA,LA,200,200,M-JKT-168,PT Putra Jaya Kusuma,106.919983,-6.196133,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,195.1096599,Yes,Rawa Kepiting,M-JKT-137-3
M-JKT-137-35-01-IN,PURWAKARTA,FA,BR,1000,1500,M-JKT-170,dewa cita,106.920233,-6.19685,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,70.81579018,Yes,Rawa Kepiting,M-JKT-137-3
M-JKT-137-35-02-IN,SUBANG,FA,BR,1000,1500,M-JKT-170,dewa cita,106.920233,-6.19685,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,96.51388895,Yes,Rawa Kepiting,M-JKT-137-3
M-JKT-137-35-03-IN,SUBANG,FA,BR,1000,1000,M-JKT-170,dewa cita,106.920233,-6.19685,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,96.51388895,Yes,Rawa Kepiting,M-JKT-137-3
M-JKT-137-35-04-IN,LAMPUNG SELATAN,FA,BR,1000,1000,M-JKT-170,dewa cita,106.920233,-6.19685,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,175.0342874,Yes,Rawa Kepiting,M-JKT-137-3
M-JKT-137-35-05-IN,SUKABUMI,FA,BR,1000,1000,M-JKT-170,dewa cita,106.920233,-6.19685,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,94.14192575,Yes,Rawa Kepiting,M-JKT-137-3
M-JKT-137-35-06-IN,PURWAKARTA,FA,BR,1000,1000,M-JKT-170,dewa cita,106.920233,-6.19685,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,70.81579018,Yes,Rawa Kepiting,M-JKT-137-3
M-JKT-137-36-01-IN,SUKABUMI,FA,BR,1000,1500,M-JKT-171,Bapak Doran,106.920233,-6.188517,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,94.14192575,Yes,Rawa Kepiting,M-JKT-137-3
M-JKT-137-36-02-IN,PURWAKARTA,FA,BR,1000,1500,M-JKT-171,Bapak Doran,106.920233,-6.188517,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,70.81579018,Yes,Rawa Kepiting,M-JKT-137-3
M-JKT-137-36-03-IN,SUBANG,FA,BR,1000,1000,M-JKT-171,Bapak Doran,106.920233,-6.188517,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,96.51388895,Yes,Rawa Kepiting,M-JKT-137-3
M-JKT-137-36-04-IN,PURWAKARTA,FA,BR,1000,1000,M-JKT-171,Bapak Doran,106.920233,-6.188517,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,70.81579018,Yes,Rawa Kepiting,M-JKT-137-3
M-JKT-137-36-05-IN,LAMPUNG SELATAN,FA,BR,1000,1000,M-JKT-171,Bapak Doran,106.920233,-6.188517,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,175.0342874,Yes,Rawa Kepiting,M-JKT-137-3
M-JKT-137-36-06-IN,SUBANG,FA,BR,1000,1000,M-JKT-171,Bapak Doran,106.920233,-6.188517,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,96.51388895,Yes,Rawa Kepiting,M-JKT-137-3
M-JKT-137-39-01-IN,TASIKMALAYA,Br,BR,2000,10000,M-JKT-174,CAHAYA FAJAR,106.9198,-6.197067,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,195.1096599,Yes,Rawa Kepiting,M-JKT-137-3
M-JKT-137-39-02-IN,LAMPUNG BARAT,Br,BR,2000,4000,M-JKT-174,CAHAYA FAJAR,106.9198,-6.197067,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,322.7974212,Yes,Rawa Kepiting,M-JKT-137-3
M-JKT-137-4-01-IN,CIREBON,Br,BR,1500,7500,M-JKT-140,Mitra Sejati Unggas,106.90435,-6.187967,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,187.7302836,Yes,Pulo Gadung,M-JKT-137-4
M-JKT-137-4-02-IN,BANDUNG,Br,BR,1500,4500,M-JKT-140,Mitra Sejati Unggas,106.90435,-6.187967,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,122.9560521,Yes,Pulo Gadung,M-JKT-137-4
M-JKT-137-4-03-IN,KOTA BANDAR LAMPUNG,Br,BR,1500,4500,M-JKT-140,Mitra Sejati Unggas,106.90435,-6.187967,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,204.1833267,Yes,Pulo Gadung,M-JKT-137-4
M-JKT-137-4-04-IN,TEGAL,Br,BR,1500,4500,M-JKT-140,Mitra Sejati Unggas,106.90435,-6.187967,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,266.8643781,Yes,Pulo Gadung,M-JKT-137-4
M-JKT-137-41-01-IN,TASIKMALAYA,Br,BR,3000,12000,M-JKT-176,JAMBANG,106.91985,-6.196933,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,195.1096599,Yes,Rawa Kepiting,M-JKT-137-4
M-JKT-137-41-02-IN,LAMPUNG BARAT,Br,BR,3000,9000,M-JKT-176,JAMBANG,106.91985,-6.196933,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,322.7974212,Yes,Rawa Kepiting,M-JKT-137-4
